name,price,weight,dim_x,dim_y,dim_z
Sonny Monitor Pro,539.39,4855.93,58.3,38.8,14.6
Gugle Smartphone Pro,829.56,206.79,15.5,7.2,0.8
Dellta Laptop Pro,1584.72,1402.28,32.7,23.4,1.9
Novolo Monitor Pro,350.3,5494.32,65.9,44.0,16.5
Asos Monitor Pro,384.24,4688.29,56.3,37.5,14.1
Samsing Tablet Lite,336.72,475.52,23.8,17.1,0.7
Pear Smartphone Lite,624.79,195.91,14.7,6.9,0.8
Gugle Router Air,173.7,770.2,19.3,19.3,4.8
Asos Gaming-PC Pro,2657.57,10223.59,51.1,20.4,46.0
Asos Gaming-PC Lite,1442.19,10329.94,51.6,20.7,46.5
Sonny Monitor Air,479.92,5417.74,65.0,43.3,16.3
Samsing Smartphone Ultra,1358.72,217.62,16.3,7.6,0.9
H-Pee Monitor Air,306.73,4662.14,55.9,37.3,14.0
Cybernetic Eye Implant (Mock),299.0,100.0,3.0,3.0,2.5
Pear Smartphone Ultra,1642.41,195.46,14.7,6.8,0.8
Samsing Smartwatch Lite,220.05,52.25,4.2,4.2,1.0
Gugle Smartphone Max,1011.57,200.39,15.0,7.0,0.8
Sonny Webcam Air,151.45,183.49,9.2,4.6,4.6
Pear Smartwatch,367.6,46.91,3.8,3.8,0.9
Sonny Monitor,410.28,5229.62,62.8,41.8,15.7
Sonny Webcam,144.59,218.24,10.9,5.5,5.5
Novolo Monitor Air,287.04,4885.57,58.6,39.1,14.7
Asos Monitor Air,320.2,5001.3,60.0,40.0,15.0
Gugle Smartphone,668.04,205.57,15.4,7.2,0.8
Sonny Webcam Pro,188.85,192.18,9.6,4.8,4.8
Samsing Smartwatch Max,436.78,49.25,3.9,3.9,1.0
Pear Tablet Max,928.23,489.69,24.5,17.6,0.7
Macrosoft Laptop Lite,1049.87,1486.76,34.7,24.8,2.0
Pear Smartphone Air,946.87,201.95,15.1,7.1,0.8
Samsing Monitor Air,377.82,4905.03,58.9,39.2,14.7
Dellta Monitor Lite,201.98,4731.44,56.8,37.9,14.2
Gugle Smartphone Lite,452.88,205.13,15.4,7.2,0.8
Gugle Router,158.84,801.22,20.0,20.0,5.0
Dellta Router Air,157.6,742.6,18.6,18.6,4.6
Asos Laptop Air,1340.82,1540.29,35.9,25.7,2.1
Gugle Tablet Pro,554.24,518.54,25.9,18.7,0.7
Gugle Router Max,253.29,857.32,21.4,21.4,5.4
Dellta Laptop Air,1275.97,1507.99,35.2,25.1,2.0
Novolo Laptop Lite,733.28,1361.49,31.8,22.7,1.8
Asos Laptop Max,1805.99,1520.79,35.5,25.3,2.0
Asos Monitor Max,453.68,4966.2,59.6,39.7,14.9
Gugle Tablet Lite,294.43,525.58,26.3,18.9,0.7
Samsing Tablet Air,522.97,518.39,25.9,18.7,0.7
Samsing Tablet Max,735.79,535.16,26.8,19.3,0.7
H-Pee Laptop,1044.36,1460.63,34.1,24.3,1.9
Asos Headphones Ultra,348.91,289.72,19.3,17.4,7.7
Sonny Webcam Lite,102.74,184.38,9.2,4.6,4.6
Asos Gaming-PC,2093.02,9027.65,45.1,18.1,40.6
Pear Smartwatch Lite,261.12,53.83,4.3,4.3,1.1
H-Pee Monitor Max,414.26,4626.85,55.5,37.0,13.9
Novolo Monitor,273.8,5270.08,63.2,42.2,15.8
H-Pee Laptop Pro,1337.94,1541.32,36.0,25.7,2.1
Dellta Laptop Max,1765.65,1393.85,32.5,23.2,1.9
Macrosoft Tablet Ultra,966.33,517.46,25.9,18.6,0.7
Dellta Router Max,217.09,770.98,19.3,19.3,4.8
Asos Laptop,1213.04,1500.47,35.0,25.0,2.0
Asos Headphones Air,213.28,308.52,20.6,18.5,8.2
Samsing Monitor,361.63,5024.22,60.3,40.2,15.1
Pear Smartwatch Pro,504.66,52.53,4.2,4.2,1.1
Sonny Headphones Lite,202.1,326.75,21.8,19.6,8.7
Vintage Mechanical Typewriter,450.0,5200.0,40.0,35.0,15.0
Pear Smartphone Pro,1146.67,208.87,15.7,7.3,0.8
Dellta Laptop,1142.04,1601.67,37.4,26.7,2.1
Golden Industrial Scissors,120.0,400.0,25.0,10.0,1.5
Gugle Tablet Air,485.98,497.24,24.9,17.9,0.7
Macrosoft Tablet,525.15,526.91,26.3,19.0,0.7
Samsing Tablet,489.68,504.06,25.2,18.1,0.7
Asos Headphones Pro,250.94,314.94,21.0,18.9,8.4
Samsing Smartphone Air,796.27,209.43,15.7,7.3,0.8
Asos Laptop Pro,1633.03,1415.11,33.0,23.6,1.9
Pear Tablet,579.98,481.62,24.1,17.3,0.7
Novolo Laptop Max,1641.57,1607.36,37.5,26.8,2.1
Sonny Headphones Max,440.18,306.99,20.5,18.4,8.2
Dellta Monitor,299.13,5223.41,62.7,41.8,15.7
Macrosoft Laptop Air,1633.36,1519.75,35.5,25.3,2.0
Quantum Computing Starter Kit,9999.99,25000.0,100.0,80.0,60.0
H-Pee Monitor Lite,185.34,4901.31,58.8,39.2,14.7
H-Pee Laptop Lite,750.46,1374.53,32.1,22.9,1.8
Dellta Monitor Max,466.52,5329.48,64.0,42.6,16.0
Asos Gaming-PC Air,2195.45,9407.7,47.0,18.8,42.3
Sonny Monitor Ultra,793.4,5078.68,60.9,40.6,15.2
Macrosoft Tablet Lite,357.34,533.24,26.7,19.2,0.7
Pear Tablet Ultra,1123.92,497.11,24.9,17.9,0.7
H-Pee Monitor Pro,337.49,4847.36,58.2,38.8,14.5
Asos Headphones Max,306.05,328.06,21.9,19.7,8.7
Gugle Router Lite,120.98,868.89,21.7,21.7,5.4
